month_year,chemical_name,iso,price_units,value_units,mass_units,mass_import,mass_export,mass_total,fraction_import,value_import,value_export,value_total,price_total,trade_balance,price_premium,price_transport,price_adjusted,year,month
2023-12,sulfuric acid,FRA,$/tonne,$,tonne,26866.156,16138.107000000002,43004.263,0.6247323899028335,4927888.662999999,2074481.2959999987,7002369.958999997,162.82967014223675,balanced,16.282967014223676,15.0,194.11263715646044,2023,12
2023-12,sulfuric acid,GBR,$/tonne,$,tonne,27451.011999999995,1108.24,28559.251999999997,0.9611950621115707,4239620.644999999,929115.4729999999,5168736.117999999,180.98289542037023,import,18.098289542037023,15.0,214.08118496240724,2023,12
2023-12,sulfuric acid,IND,$/tonne,$,tonne,107014.972,3699.4268890000003,110714.39888899999,0.9665858558044562,9882848.632999994,613978.2509999998,10496826.883999994,94.80995235790333,import,9.480995235790333,15.0,119.29094759369366,2023,12
2023-12,sulfuric acid,SWE,$/tonne,$,tonne,915.5063700000001,48474.984567,49390.490937,0.01853608564384941,165519.12199999994,4833820.047999999,4999339.169999998,101.22068185912346,export,10.122068185912347,15.0,126.34275004503581,2023,12
2023-12,sulfuric acid,TUR,$/tonne,$,tonne,57688.61700000001,67120.459,124809.07600000002,0.4622149193701266,4606710.999999995,3347307.9999999995,7954018.999999994,63.729491916116686,balanced,6.372949191611669,15.0,85.10244110772835,2023,12
2023-12,sulfuric acid,USA,$/tonne,$,tonne,319427.0,11653.0,331080.0,0.9648030687447142,37965914.0,1769594.9999999993,39735509.0,120.01784765011477,import,12.001784765011479,15.0,147.01963241512627,2023,12
2024-01,potassium chloride,CAN,$/tonne,$,tonne,277.228204,1511242.991,1511520.219204,0.00018341018563813492,372040.2,414641451.34799993,415013491.5479999,274.56694675679245,export,27.456694675679245,15.0,317.02364143247166,2024,1
2024-01,potassium chloride,DEU,$/tonne,$,tonne,13086.383591,261714.504931,274800.888522,0.047621329251824204,5508208.335999999,97292529.01,102800737.346,374.0917210963457,export,37.40917210963457,15.0,426.5008932059802,2024,1
2024-01,potassium chloride,FRA,$/tonne,$,tonne,47105.089,204.51399999999998,47309.603,0.9956771144327716,17319233.217,99205.11499999998,17418438.332,368.1797611364441,import,36.81797611364441,15.0,419.9977372500885,2024,1
2024-01,potassium chloride,GBR,$/tonne,$,tonne,27385.539,18500.064000000002,45885.603,0.596822035879097,11412880.144000003,4456034.163999999,15868914.308000002,345.83645567434303,balanced,34.5836455674343,15.0,395.42010124177733,2024,1
2024-01,potassium chloride,IND,$/tonne,$,tonne,206227.30174,5144.349663,211371.651403,0.9756620642888776,66138598.17599999,2180412.7600000007,68319010.93599999,323.21747255379745,import,32.32174725537975,15.0,370.5392198091772,2024,1
2024-01,potassium chloride,SWE,$/tonne,$,tonne,6244.731519,55.800836000000004,6300.532355,0.9911434728280194,2475068.9729999998,37014.892,2512083.8649999998,398.7097793421298,import,39.87097793421299,15.0,453.5807572763428,2024,1
